condition_name,variant,n_trials,n_correct,n_refusals,accuracy,error_rate,refusal_rate,n_incorrect
asch_history_5,base,200,53,1,0.265,0.735,0.005,147
asch_history_5,instruct,200,46,0,0.23,0.77,0.0,154
asch_history_5,instruct_sft,200,38,0,0.19,0.81,0.0,162
asch_history_5,rl_zero,200,16,1,0.08,0.92,0.005,184
asch_history_5,think,200,54,0,0.27,0.73,0.0,146
asch_history_5,think_sft,200,68,0,0.34,0.6599999999999999,0.0,132
authoritative_bias,base,200,47,4,0.235,0.765,0.02,153
authoritative_bias,instruct,200,38,2,0.19,0.81,0.01,162
authoritative_bias,instruct_sft,200,52,6,0.26,0.74,0.03,148
authoritative_bias,rl_zero,200,14,1,0.07,0.9299999999999999,0.005,186
authoritative_bias,think,200,48,0,0.24,0.76,0.0,152
authoritative_bias,think_sft,200,62,1,0.31,0.69,0.005,138
control,base,200,47,3,0.235,0.765,0.015,153
control,instruct,200,53,1,0.265,0.735,0.005,147
control,instruct_sft,200,56,0,0.28,0.72,0.0,144
control,rl_zero,200,13,2,0.065,0.935,0.01,187
control,think,200,44,3,0.22,0.78,0.015,156
control,think_sft,200,54,5,0.27,0.73,0.025,146
